days,confirmed,recovered,deaths,active,cfr_recovered,cfr_confirmed
2020-03-08,3,0,0,3,,0.0
2020-03-09,3,0,0,3,,0.0
2020-03-10,3,0,0,3,,0.0
2020-03-11,3,0,0,3,,0.0
2020-03-12,3,0,0,3,,0.0
2020-03-13,3,0,0,3,,0.0
2020-03-14,3,0,0,3,,0.0
2020-03-15,5,0,0,5,,0.0
2020-03-16,8,2,0,6,0.0,0.0
2020-03-17,10,3,0,7,0.0,0.0
2020-03-18,14,3,1,10,25.0,7.142857142857143
2020-03-19,17,3,1,13,25.0,5.882352941176471
2020-03-20,20,3,1,16,25.0,5.0
2020-03-21,25,3,2,20,40.0,8.0
2020-03-22,27,3,2,22,40.0,7.407407407407407
2020-03-23,33,3,3,27,50.0,9.090909090909092
2020-03-24,39,5,4,30,44.44444444444444,10.256410256410257
2020-03-25,39,7,5,27,41.666666666666664,12.820512820512821
2020-03-26,44,11,5,28,31.25,11.363636363636363
2020-03-27,48,11,5,32,31.25,10.416666666666666
2020-03-28,48,15,5,28,25.0,10.416666666666666
2020-03-29,48,15,5,28,25.0,10.416666666666666
2020-03-30,49,19,5,25,20.833333333333332,10.204081632653061
2020-03-31,51,25,5,21,16.666666666666668,9.803921568627452
2020-04-01,54,25,6,23,19.35483870967742,11.11111111111111
2020-04-02,56,25,6,25,19.35483870967742,10.714285714285714
2020-04-03,61,26,6,29,18.75,9.836065573770492
2020-04-04,70,30,8,32,21.05263157894737,11.428571428571429
2020-04-05,88,33,9,46,21.428571428571427,10.227272727272727
2020-04-06,123,33,12,78,26.666666666666668,9.75609756097561
2020-04-07,164,33,17,114,34.0,10.365853658536585
2020-04-08,218,33,20,165,37.735849056603776,9.174311926605505
2020-04-09,330,33,21,276,38.888888888888886,6.363636363636363
2020-04-10,424,33,27,364,45.0,6.367924528301887
2020-04-11,482,36,30,416,45.45454545454545,6.224066390041494
2020-04-12,621,39,34,548,46.57534246575342,5.475040257648954
2020-04-13,803,42,39,722,48.148148148148145,4.85678704856787
2020-04-14,1012,42,46,924,52.27272727272727,4.545454545454546
2020-04-15,1231,49,50,1132,50.505050505050505,4.061738424045491
2020-04-16,1572,49,60,1463,55.04587155963303,3.816793893129771
2020-04-17,1838,58,75,1705,56.390977443609025,4.080522306855277
2020-04-18,2144,66,84,1994,56.0,3.917910447761194
2020-04-19,2456,75,91,2290,54.81927710843374,3.705211726384365
2020-04-20,2948,85,101,2762,54.30107526881721,3.4260515603799186
2020-04-21,3382,87,110,3185,55.83756345177665,3.2525133057362505
2020-04-22,3772,92,120,3560,56.60377358490566,3.1813361611876987
2020-04-23,4186,108,127,3951,54.04255319148936,3.0339225991399905
2020-04-24,4689,112,131,4446,53.90946502057613,2.793772659415654
2020-04-25,4998,113,140,4745,55.33596837944664,2.8011204481792715
2020-04-26,5416,122,145,5149,54.30711610486891,2.6772525849335302
2020-04-27,5913,131,152,5630,53.71024734982332,2.5706071368171823
2020-04-28,6462,139,155,6168,52.72108843537415,2.3986381925100586
2020-04-29,7103,150,163,6790,52.07667731629393,2.2948050119667744
2020-04-30,7667,160,168,7339,51.21951219512195,2.19120907786618
2020-05-01,8238,174,170,7894,49.41860465116279,2.0636076717649914
2020-05-02,8790,177,175,8438,49.71590909090909,1.9908987485779295
2020-05-03,9455,1063,177,8215,14.274193548387096,1.872025383395029
2020-05-04,10143,1209,182,8752,13.08411214953271,1.7943409247757074
2020-05-05,10929,1403,183,9343,11.538461538461538,1.6744441394455118
2020-05-06,11719,1403,186,10130,11.70547514159849,1.5871661404556703
2020-05-07,12425,1910,199,10316,9.4357515410147,1.6016096579476862
2020-05-08,13134,2101,206,10827,8.929345470307759,1.5684483021166438
2020-05-09,13770,2414,214,11142,8.143074581430746,1.5541031227305737
2020-05-10,14657,2650,228,11779,7.922168172341904,1.5555707170635191
2020-05-11,15691,2902,239,12550,7.60904170646291,1.5231661461984578
2020-05-12,16660,3147,250,13263,7.359434795407712,1.5006002400960383
2020-05-13,17822,3361,269,14192,7.410468319559229,1.509370441027943
2020-05-14,18863,3361,283,15219,7.766190998902305,1.5002915761013624
2020-05-15,20065,3882,298,15885,7.1291866028708135,1.4851731871417893
2020-05-16,20995,4117,314,16564,7.0864364703227265,1.4955941890926412
2020-05-17,22268,4373,328,17567,6.977238885343544,1.472965690677205
2020-05-18,23870,4585,349,18936,7.073368463721119,1.4620863007959781
2020-05-19,25121,4993,370,19758,6.899123624836845,1.472871302893993
2020-05-20,26738,5207,386,21145,6.901483997854461,1.4436382676340789
2020-05-21,28511,5602,408,22501,6.788685524126456,1.431026621304058
2020-05-22,30205,6190,432,23583,6.523708849290244,1.430226783645092
2020-05-23,32078,6486,452,25140,6.514845776880946,1.4090654030799925
2020-05-24,33610,6901,480,26229,6.503183850426772,1.428146385004463
2020-05-25,35585,7334,501,27750,6.3943841735800895,1.407896585640017
2020-05-26,36751,7579,522,28650,6.443648932230589,1.4203695137547279
2020-05-27,38292,7925,544,29823,6.423426614712481,1.4206622793272747
2020-05-28,40321,8425,559,31337,6.222172751558326,1.3863743458743583
2020-05-29,42844,9015,582,33247,6.0643951234760864,1.358416581084866
